3,10,LIKE,2018,9,20,7,6,55
12,21,LIKE,2018,9,20,17,35,48
8,9,LIKE,2018,9,21,2,56,32
21,22,LIKE,2018,9,21,5,18,30
6,25,LIKE,2018,9,21,22,16,22
11,26,LIKE,2018,9,22,15,44,51
22,15,DISLIKE,2018,9,23,4,47,28
15,4,DISLIKE,2018,9,23,7,55,29
18,23,LIKE,2018,9,23,16,32,5
11,14,DISLIKE,2018,9,23,21,53,12
17,14,DISLIKE,2018,9,24,2,41,16
28,5,DISLIKE,2018,9,24,13,30,43
22,19,DISLIKE,2018,9,24,21,38,29
4,25,DISLIKE,2018,9,25,0,57,47
7,2,LIKE,2018,9,25,4,29,59
15,20,DISLIKE,2018,9,25,12,32,17
13,16,LIKE,2018,9,25,16,12,39
9,10,DISLIKE,2018,9,26,7,9,22
14,19,LIKE,2018,9,26,16,24,57
22,27,DISLIKE,2018,9,27,2,50,32
7,10,LIKE,2018,9,27,8,26,13
14,1,DISLIKE,2018,9,28,0,37,38
13,6,LIKE,2018,9,28,15,26,59
3,20,DISLIKE,2018,9,28,17,44,14
16,9,DISLIKE,2018,9,28,18,15,3
20,11,LIKE,2018,9,28,19,27,45
20,17,DISLIKE,2018,9,29,11,39,13
24,3,LIKE,2018,9,30,5,12,47
27,26,DISLIKE,2018,9,30,19,57,46
11,4,DISLIKE,2018,10,1,10,43,25
30,5,DISLIKE,2018,10,1,20,34,45
22,17,LIKE,2018,10,2,1,9,10
26,1,DISLIKE,2018,10,2,18,56,3
14,15,LIKE,2018,10,3,9,0,3
27,16,LIKE,2018,10,3,10,49,8
13,10,DISLIKE,2018,10,3,13,50,1
10,3,DISLIKE,2018,10,3,15,17,58
5,26,LIKE,2018,10,4,3,12,21
13,18,LIKE,2018,10,4,8,20,59
24,15,LIKE,2018,10,5,2,29,22
24,1,LIKE,2018,10,5,12,12,53
28,15,LIKE,2018,10,6,4,55,56
26,5,LIKE,2018,10,6,11,27,1
4,11,DISLIKE,2018,10,7,4,33,51
17,30,DISLIKE,2018,10,7,10,43,49
8,3,DISLIKE,2018,10,7,16,36,34
20,27,LIKE,2018,10,8,5,54,55
3,6,LIKE,2018,10,8,21,15,23
1,2,LIKE,2018,10,9,1,47,20
21,2,LIKE,2018,10,9,16,27,31
20,1,LIKE,2018,10,10,7,0,18
17,4,LIKE,2018,10,10,18,2,55
18,13,DISLIKE,2018,10,11,3,2,37
29,12,LIKE,2018,10,11,12,17,35
12,27,LIKE,2018,10,12,6,19,18
8,7,LIKE,2018,10,12,11,15,25
2,3,DISLIKE,2018,10,12,19,17,8
6,11,DISLIKE,2018,10,13,8,25,45
19,20,LIKE,2018,10,13,23,37,2
22,25,DISLIKE,2018,10,14,13,14,36
14,17,DISLIKE,2018,10,14,20,17,53
28,19,DISLIKE,2018,10,14,22,34,24
15,16,LIKE,2018,10,15,1,20,11
28,30,LIKE,2018,10,15,1,42,58
30,27,LIKE,2018,10,15,3,39,5
14,11,LIKE,2018,10,15,18,57,18
26,21,DISLIKE,2018,10,15,19,41,38
21,16,DISLIKE,2018,10,16,0,44,25
23,22,DISLIKE,2018,10,16,3,33,6
6,17,DISLIKE,2018,10,16,9,53,5
4,5,LIKE,2018,10,16,11,40,28
18,15,LIKE,2018,10,17,6,34,21
22,13,DISLIKE,2018,10,17,13,5,37
10,5,DISLIKE,2018,10,17,23,15,40
25,22,DISLIKE,2018,10,18,5,46,20
15,28,DISLIKE,2018,10,18,8,47,6
28,11,DISLIKE,2018,10,18,18,50,37
26,25,DISLIKE,2018,10,19,12,41,13
26,23,LIKE,2018,10,20,1,35,41
6,13,LIKE,2018,10,20,17,26,31
5,10,LIKE,2018,10,21,3,12,2
1,30,LIKE,2018,10,21,22,2,59
28,17,DISLIKE,2018,10,22,13,23,24
3,28,DISLIKE,2018,10,23,8,30,52
30,15,DISLIKE,2018,10,24,0,38,11
27,6,LIKE,2018,10,24,8,32,21
15,8,LIKE,2018,10,25,2,49,47
5,6,DISLIKE,2018,10,25,11,33,14
23,16,DISLIKE,2018,10,25,22,17,13
29,18,DISLIKE,2018,10,26,2,32,11
12,11,LIKE,2018,10,26,16,24,47
8,17,DISLIKE,2018,10,27,0,25,3
5,28,DISLIKE,2018,10,27,16,41,33
2,23,DISLIKE,2018,10,27,22,39,35
12,23,LIKE,2018,10,27,23,20,43
18,1,DISLIKE,2018,10,28,16,46,34
30,23,DISLIKE,2018,10,29,0,57,9
16,23,LIKE,2018,10,29,10,53,14
4,23,DISLIKE,2018,10,30,0,26,41
3,8,LIKE,2018,10,30,13,39,55
